rule_id,style_name,reference_type,element_type,rule_attribute,rule_value,example,notes
van-012,Vancouver,journal_article,doi,inclusion,recommended,doi: 10.xxxx/yyyy,"DOI with 'doi:' prefix at end"
har-001,Harvard,journal_article,author,format,"Last, F.M.","Smith, J.A.","Cite Them Right convention: no space between initials"
har-002,Harvard,journal_article,author,separator,"commas between, 'and' before last (no Oxford comma)","Smith, J.A., Jones, B.L. and Lee, C.D.","Cite Them Right convention; some institutional Harvard variants use Oxford comma — flag inconsistency rather than reject"
har-003,Harvard,journal_article,author,et_al_threshold_intext,4 or more authors,"First in-text cite: (Smith et al. 2024)","Cite Them Right §2.5; some Harvard variants use 3+"
har-003b,Harvard,journal_article,author,et_al_threshold_reflist,list all authors (no et al.),"Smith, J.A., Jones, B.L., Lee, C.D. and Patel, R.K., 2024.","Most Harvard variants list all authors in the reference list; threshold rule is for in-text only"
har-004,Harvard,journal_article,citation,inline,author-date,(Smith 2024) or Smith (2024),"Parenthetical author-date in text"
har-005,Harvard,journal_article,year,placement,after author list,"Smith, J.A., 2024.","After authors, followed by comma"
har-006,Harvard,journal_article,title,capitalization,sentence case,Deep learning for medical image analysis.,"First word and proper nouns capitalized"
har-007,Harvard,journal_article,title,formatting,plain text,Deep learning for medical image analysis.,"No italics or quotes for journal article titles"
har-008,Harvard,journal_article,journal,formatting,italics + title case,Pattern Recognition,"Italicized in full title case"
har-009,Harvard,journal_article,volume,format,N,42,"Just the number, sometimes bold"
har-010,Harvard,journal_article,issue,format,(N),(3),"In parens after volume"
har-011,Harvard,journal_article,pages,format,pp. N-N,pp. 123-145,"'pp.' prefix, hyphen between pages"
har-012,Harvard,journal_article,doi,inclusion,recommended,Available at: https://doi.org/10.xxxx/yyyy,"Often introduced with 'Available at:' in Harvard variants"
chi-001,Chicago,journal_article,author,format,"""Last, First M."" (first author); ""First M. Last"" (subsequent)","Smith, John A., Brian L. Jones, and Cheryl D. Lee.","CMS 17 §15.9 (author-date) and §14.76 (notes-bibliography): only first author is inverted in the reference list; full first names typically spelled out, not initials"
chi-002,Chicago,journal_article,author,separator,", and use 'and' before last","Smith, John A., Brian L. Jones, and Cheryl D. Lee","Oxford comma; 'and' before final author"
chi-003,Chicago,journal_article,author,et_al_threshold_reflist,more than 10 authors,"List first 7 followed by 'et al.'","CMS 17 §15.9; Notes-Bibliography system has its own rules"
chi-004,Chicago,journal_article,citation,inline,author-date or notes,(Smith 2024) or footnote superscript,"Two Chicago systems: author-date (sciences) and notes-bibliography (humanities). Pick one consistently per manuscript"
chi-005,Chicago,journal_article,year,placement,after author list,"Smith, John A. 2024.","CMS 17 §15.9: in the author-date reference list, year follows author with a period (not parenthesized as in in-text citations)"
chi-006,Chicago,journal_article,title,capitalization,headline (title) case,Deep Learning for Medical Image Analysis.,"Major words capitalized"
chi-007,Chicago,journal_article,title,formatting,double quotes,"""Deep Learning for Medical Image Analysis.""","Article title in quotes"
chi-008,Chicago,journal_article,journal,formatting,italics + headline case,Pattern Recognition,"Journal name italicized in title case"
chi-009,Chicago,journal_article,volume,format,N,42,"Just the number"
chi-010,Chicago,journal_article,issue,format,no. N or (N),no. 3 (preferred) or (3),"CMS 17 §14.171: 'no. N' is preferred; '(N)' is also permitted especially when a date appears in parens"
chi-011,Chicago,journal_article,pages,format,N-N,123-45,"Hyphen, second page abbreviated like Vancouver"
chi-012,Chicago,journal_article,doi,inclusion,recommended (required for online sources),https://doi.org/10.xxxx/yyyy,"CMS 17 §14.6: strong recommendation, mandatory for online-only sources"
